,Income,Kidhome,Teenhome,Recency,MntGoldProds,MntWines,MntFruits,MntFishProducts,MntSweetProducts,MntMeatProducts,NumDealsPurchases,NumWebPurchases,AcceptedCmp3,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp2,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,Complain,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Alone,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,Outcome
0,54252.0,1,1,25,44,178,4,8,4,26,5,4,0,1,5,6,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,0
1,74805.0,0,1,14,37,209,162,41,162,209,5,4,0,7,10,2,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,0
2,52413.0,0,2,56,65,295,106,75,98,271,4,6,0,4,12,6,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
3,52060.6335839599,0,1,96,124,231,65,38,71,196,1,6,0,5,7,4,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
4,19514.0,1,1,47,28,14,3,2,1,21,4,3,1,1,2,8,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,1
5,44393.0,1,1,86,10,24,2,2,2,20,2,1,0,0,4,4,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
6,63342.0,0,1,48,21,918,21,13,10,118,3,8,0,3,5,6,0,1,0,0,0,False,False,False,False,True,False,False,False,False,True,False,1
7,70638.0,0,0,69,63,1016,12,16,12,215,1,4,0,5,10,3,0,1,0,0,0,False,False,False,True,False,False,True,False,False,False,False,0
8,55761.0,0,1,97,32,136,1,0,3,12,2,4,0,1,3,6,0,1,0,0,0,False,False,True,False,False,False,False,False,False,True,False,0
9,18351.0,0,0,1,7,1,12,0,14,9,1,2,0,0,3,7,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
10,16927.0,1,1,50,4,20,2,3,1,23,5,3,0,0,4,8,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,0
11,41967.0,1,1,66,15,23,4,0,2,10,1,1,0,0,3,4,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,0
12,45938.0,0,0,46,29,273,11,62,83,178,2,8,0,4,6,6,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,0
13,84219.0,0,0,27,45,434,137,45,137,400,1,3,0,4,10,1,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
14,71964.0,0,0,81,86,587,51,180,34,932,1,5,0,6,5,3,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,0
15,46098.0,1,1,86,36,57,0,0,0,27,4,3,0,2,2,8,0,0,0,0,0,False,False,False,True,False,False,False,False,True,False,False,0
16,40211.0,1,1,30,25,51,1,2,1,7,2,2,1,1,2,8,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
17,30279.0,1,0,13,1,10,4,4,4,14,1,1,0,0,3,8,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,0
18,69969.0,0,0,64,44,882,29,38,29,514,1,4,0,2,6,3,0,0,1,1,0,False,False,False,False,True,False,False,True,False,False,False,1
19,32173.0,0,1,0,2,18,0,0,0,2,1,1,0,0,3,4,0,0,0,0,0,False,False,False,False,True,False,True,False,False,False,False,0
20,53653.0,0,0,29,108,815,10,28,10,239,2,10,0,4,12,6,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,True,0
21,80617.0,0,0,42,32,594,51,72,55,631,1,4,0,6,8,2,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,0
22,52060.6335839599,1,2,67,20,738,20,52,50,172,6,2,0,3,10,7,0,1,0,1,0,False,False,True,False,False,False,False,False,True,False,False,0
23,54414.0,1,1,49,18,109,18,24,26,16,4,3,0,1,5,4,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,0
24,9722.0,1,0,7,42,6,17,6,16,16,4,3,0,1,3,8,0,0,0,0,0,False,True,False,False,False,False,False,False,False,True,False,1
25,62000.0,0,1,25,20,899,0,0,0,101,1,6,0,6,13,4,0,0,0,1,0,False,False,False,False,True,False,False,False,True,False,False,0
26,38946.0,0,1,84,41,116,6,6,6,82,2,3,0,1,6,5,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,0
27,54197.0,0,1,16,13,162,6,6,13,37,2,1,0,3,6,1,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,0
28,21675.0,1,0,55,4,4,0,17,4,16,3,4,0,0,3,7,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,0
29,38196.0,1,1,20,3,30,0,0,0,11,3,2,0,0,4,5,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,0
30,29938.0,1,0,52,11,3,3,0,2,7,2,1,0,0,3,6,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,0
31,45143.0,0,1,74,14,202,5,11,5,74,3,6,0,1,5,7,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,0
32,38136.0,1,0,69,33,8,15,0,20,27,2,3,1,1,2,8,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
33,29819.0,1,0,77,2,9,1,2,1,24,3,3,0,0,3,6,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,0
34,57247.0,0,1,50,6,99,4,37,54,32,2,2,0,1,7,2,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,0
35,49090.0,0,1,45,100,494,5,7,0,82,3,7,0,2,9,7,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,0
36,36807.0,1,1,88,5,4,2,0,0,5,1,1,0,0,2,6,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,0
37,30261.0,1,2,75,6,8,0,0,3,5,1,0,0,0,3,8,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,0
38,37717.0,1,0,31,5,9,0,4,1,6,1,1,0,0,2,9,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,0
39,71796.0,0,0,54,32,354,21,167,75,311,1,9,0,3,4,4,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,0
40,71322.0,0,1,57,204,753,43,69,10,226,2,8,0,5,13,4,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,0
41,36301.0,1,0,53,12,11,12,3,5,35,1,3,0,0,3,7,0,0,0,0,0,True,False,False,False,False,False,False,False,False,True,False,0
42,30023.0,1,0,28,21,11,0,7,6,16,1,2,0,0,3,8,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
43,37859.0,1,2,75,2,22,1,2,1,8,2,1,0,0,3,8,0,0,0,0,0,False,False,True,False,False,False,True,False,False,False,False,0
44,17459.0,1,0,12,30,6,4,3,10,16,3,3,0,1,2,7,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,1
45,49413.0,0,1,88,46,205,7,3,2,41,2,4,0,2,5,5,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
46,37395.0,1,0,47,11,18,0,0,1,9,1,1,0,0,3,6,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,0
47,65106.0,0,1,55,19,790,19,12,0,133,3,8,0,3,13,6,0,1,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
48,61346.0,1,0,34,142,562,58,43,16,168,1,5,0,7,10,3,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,0
49,69098.0,0,0,82,178,1315,22,145,0,780,1,7,0,8,9,5,0,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,0
50,48789.0,0,0,94,145,351,16,7,5,156,1,6,0,4,7,6,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,0
51,49094.0,0,1,6,69,376,0,11,8,38,5,6,0,3,6,6,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,0
52,57183.0,1,1,51,70,464,5,7,0,64,8,9,0,1,7,8,0,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,0
53,32892.0,1,0,78,2,26,0,2,1,15,2,3,0,0,3,8,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,0
54,66565.0,0,1,80,42,747,10,65,40,161,4,4,0,2,9,8,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,0
55,27922.0,1,0,80,11,11,0,2,4,13,1,2,0,0,3,4,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,0
56,79456.0,0,0,12,99,565,42,64,83,548,1,5,0,6,4,3,0,0,0,0,0,False,False,True,False,False,False,False,True,False,False,False,1
57,64474.0,0,1,59,93,381,35,56,86,172,2,8,0,2,10,5,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,0
58,20180.0,0,0,27,18,18,42,15,20,24,1,2,0,1,4,7,0,0,0,0,0,False,False,True,False,False,False,False,False,True,False,False,0
59,31395.0,1,1,80,7,23,1,0,8,25,4,2,0,1,3,6,0,0,0,0,0,True,False,False,False,False,False,True,False,False,False,False,0
